Timestamp,Role,Experience,AI_Exposure,Data_Quality,Bias_Concerns,AI_Transparency,AI_Trust,Collaboration_Importance,AI_Training,Training_Importance
2023-06-08T10:15:29Z,Dentist,1 à 3 ans,Non,3,Oui,3,4,1,Non,Oui
2023-06-08T11:36:25Z,Pharmacist,7 à 10 ans,Oui,3,Oui,3,2,4,Non,Oui
2023-06-08T11:40:57Z,Pharmacist,1 à 3 ans,Non,3,Non,4,4,5,Non,Oui
2023-06-08T11:49:11Z,Pharmacist,Moins d'un an,Non,3,Oui,2,3,5,Non,Oui
2023-06-08T12:38:19Z,Pharmacist,7 à 10 ans,Oui,4,Oui,1,3,5,Préfère ne pas répondre,Oui
2023-06-08T12:48:56Z,Biologist,1 à 3 ans,Non,3,Oui,3,3,3,Non,Non
2023-06-08T13:27:13Z,Doctor,1 à 3 ans,Oui,5,Préfère ne pas répondre,2,3,3,Non,Oui
2023-06-08T14:56:08Z,Pharmacist,1 à 3 ans,Non,4,Non,3,3,5,Non,Oui
2023-06-08T15:15:06Z,Pharmacist,7 à 10 ans,Oui,4,Oui,2,5,5,Oui,Oui
2023-06-08T18:21:47Z,Pharmacist,Moins d'un an,Oui,3,Oui,4,5,4,Non,Oui
2023-06-08T20:37:37Z,Pharmacist,Moins d'un an,Oui,4,Oui,2,4,4,Non,Oui
2023-06-09T09:59:25Z,Dentist,Moins d'un an,Non,4,Non,2,3,4,Non,Oui
2023-06-09T11:24:53Z,Pharmacist,1 à 3 ans,Oui,4,Oui,3,4,5,Oui,Oui
2023-06-09T13:00:10Z,Pharmacist,1 à 3 ans,Non,3,Oui,2,2,4,Non,Oui
2023-06-12T10:04:26Z,Doctor,Moins d'un an,Non,4,Oui,3,4,4,Non,Oui
2023-06-12T10:37:04Z,Dentist,1 à 3 ans,Non,3,Oui,1,2,4,Non,Oui
2023-06-12T10:55:04Z,Dentist,1 à 3 ans,Non,3,Oui,3,3,4,Non,Oui
2023-06-12T11:14:48Z,Dentist,4 à 6 ans,Non,4,Oui,1,2,5,Non,Oui
2023-06-13T13:48:30Z,Physiotherapist,1 à 3 ans,Non,3,Oui,3,4,5,Non,Oui
2023-06-13T16:42:41Z,Physiotherapist,Plus de 10 ans,Non,4,Non,3,2,5,Non,Oui
2023-06-13T22:13:20Z,Physiotherapist,Plus de 10 ans,Non,2,Oui,2,1,5,Non,Oui
2023-06-14T05:39:24Z,Physiotherapist,Plus de 10 ans,Non,3,Préfère ne pas répondre,2,3,4,Non,Oui
2023-06-14T19:08:11Z,Pharmacist,Plus de 10 ans,Non,3,Oui,3,4,5,Non,Oui
2023-06-15T22:38:03Z,Pharmacist,1 à 3 ans,Non,3,Non,2,3,5,Non,Oui
2023-06-19T10:06:38Z,Dentist,1 à 3 ans,Oui,4,Non,2,3,5,Non,Oui
2023-06-19T10:08:24Z,Dentist,4 à 6 ans,Oui,4,Oui,2,4,5,Non,Oui
2023-06-19T10:58:45Z,Doctor,1 à 3 ans,Oui,3,Non,3,4,2,Oui,Oui
2023-06-19T11:03:52Z,Biologist,1 à 3 ans,Oui,4,Non,3,4,5,Préfère ne pas répondre,Préfère ne pas répondre
2023-06-19T12:02:24Z,Dentist,1 à 3 ans,Non,3,Oui,3,3,4,Non,Oui
